"['atom A', 'A no.', 'B no.', 'Distance (A)']"
"['Ti', 154, 'O', 337, 1.951]"
"['Ti', 154, 'O', 338, 1.723]"
"['Ti', 154, 'O', 352, 2.188]"
"['Ti', 154, 'O', 411, 2.162]"
"['Ti', 155, 'O', 326, 2.039]"
"['Ti', 155, 'O', 338, 2.189]"
"['Ti', 155, 'O', 339, 2.194]"
"['Ti', 155, 'O', 340, 2.144]"
"['Ti', 155, 'O', 355, 2.188]"
"['Ti', 155, 'O', 414, 1.761]"
"['Ti', 156, 'O', 342, 1.805]"
"['Ti', 156, 'O', 343, 2.182]"
"['Ti', 156, 'O', 344, 1.882]"
"['Ti', 156, 'O', 358, 2.199]"
"['Ti', 156, 'O', 417, 2.15]"
"['Ti', 157, 'O', 344, 2.19]"
"['Ti', 157, 'O', 345, 1.889]"
"['Ti', 157, 'O', 346, 1.89]"
"['Ti', 157, 'O', 347, 2.042]"
"['Ti', 157, 'O', 361, 2.07]"
"['Ti', 157, 'O', 420, 2.198]"
"['Ti', 158, 'O', 347, 2.187]"
"['Ti', 158, 'O', 348, 2.058]"
"['Ti', 158, 'O', 349, 1.945]"
"['Ti', 158, 'O', 350, 1.909]"
"['Ti', 158, 'O', 364, 2.034]"
"['Ti', 158, 'O', 423, 1.824]"
"['Ti', 159, 'O', 350, 2.0]"
"['Ti', 159, 'O', 351, 2.2]"
"['Ti', 159, 'O', 352, 2.183]"
"['Ti', 159, 'O', 353, 1.82]"
"['Ti', 159, 'O', 367, 1.639]"
"['Ti', 159, 'O', 426, 1.89]"
"['Ti', 160, 'O', 341, 2.024]"
"['Ti', 160, 'O', 353, 2.047]"
"['Ti', 160, 'O', 354, 2.102]"
"['Ti', 160, 'O', 355, 2.018]"
"['Ti', 160, 'O', 370, 1.711]"
"['Ti', 160, 'O', 429, 1.892]"
"['Ti', 161, 'O', 357, 1.813]"
"['Ti', 161, 'O', 358, 1.881]"
"['Ti', 161, 'O', 359, 1.846]"
"['Ti', 161, 'O', 373, 2.151]"
"['Ti', 161, 'O', 432, 1.876]"
"['Ti', 162, 'O', 359, 2.117]"
"['Ti', 162, 'O', 360, 1.659]"
"['Ti', 162, 'O', 361, 2.195]"
"['Ti', 162, 'O', 362, 2.044]"
"['Ti', 162, 'O', 376, 1.948]"
"['Ti', 162, 'O', 435, 2.2]"
"['Ti', 163, 'O', 362, 1.961]"
"['Ti', 163, 'O', 363, 2.186]"
"['Ti', 163, 'O', 364, 1.948]"
"['Ti', 163, 'O', 365, 2.194]"
"['Ti', 163, 'O', 379, 1.894]"
"['Ti', 163, 'O', 438, 1.649]"
"['Ti', 164, 'O', 365, 2.098]"
"['Ti', 164, 'O', 366, 2.164]"
"['Ti', 164, 'O', 367, 1.999]"
