"['atom A', 'A no.', 'B no.', 'Distance (A)']"
"['Sr', 49, 'Ti', 1146, 3.456]"
"['Sr', 49, 'Ti', 1172, 3.306]"
"['Sr', 49, 'Ti', 1663, 3.576]"
"['Sr', 49, 'Ti', 1666, 3.282]"
"['Sr', 50, 'Ti', 1234, 3.468]"
"['Sr', 50, 'Ti', 1303, 3.438]"
"['Sr', 50, 'Ti', 1349, 3.355]"
"['Sr', 51, 'Ti', 1424, 3.391]"
"['Sr', 51, 'Ti', 1668, 3.501]"
"['Sr', 52, 'Ti', 1008, 3.685]"
"['Sr', 52, 'Ti', 1424, 3.401]"
"['Sr', 52, 'Ti', 1571, 3.415]"
"['Sr', 52, 'Ti', 1668, 3.257]"
"['Sr', 53, 'Ti', 1008, 3.424]"
"['Sr', 53, 'Ti', 1379, 3.357]"
"['Sr', 53, 'Ti', 1571, 3.37]"
"['Sr', 54, 'Ti', 1007, 3.434]"
"['Sr', 54, 'Ti', 1379, 3.39]"
"['Sr', 54, 'Ti', 1669, 3.298]"
"['Sr', 55, 'Ti', 1007, 3.359]"
"['Sr', 55, 'Ti', 1232, 3.482]"
"['Sr', 55, 'Ti', 1669, 3.341]"
"['Sr', 56, 'Ti', 1232, 3.447]"
"['Sr', 56, 'Ti', 1670, 3.31]"
"['Sr', 57, 'Ti', 1670, 3.336]"
"['Sr', 57, 'Ti', 1671, 3.245]"
"['Sr', 58, 'Ti', 1321, 3.376]"
"['Sr', 59, 'Ti', 1172, 3.273]"
"['Sr', 59, 'Ti', 1666, 3.345]"
"['Sr', 59, 'Ti', 1672, 3.319]"
"['Sr', 59, 'Ti', 1673, 3.528]"
"['Sr', 60, 'Ti', 1172, 3.408]"
"['Sr', 60, 'Ti', 1203, 3.402]"
"['Sr', 60, 'Ti', 1667, 3.358]"
"['Sr', 60, 'Ti', 1673, 3.567]"
"['Sr', 61, 'Ti', 1203, 2.958]"
"['Sr', 61, 'Ti', 1633, 3.306]"
"['Sr', 62, 'Ti', 1008, 3.397]"
"['Sr', 62, 'Ti', 1668, 2.962]"
"['Sr', 62, 'Ti', 1674, 3.322]"
"['Sr', 62, 'Ti', 1675, 3.526]"
"['Sr', 63, 'Ti', 1008, 3.51]"
"['Sr', 63, 'Ti', 1125, 3.334]"
"['Sr', 63, 'Ti', 1675, 3.646]"
"['Sr', 64, 'Ti', 1033, 2.95]"
"['Sr', 64, 'Ti', 1034, 3.452]"
"['Sr', 64, 'Ti', 1042, 3.43]"
"['Sr', 65, 'Ti', 1034, 3.348]"
"['Sr', 65, 'Ti', 1035, 3.347]"
"['Sr', 65, 'Ti', 1042, 3.406]"
"['Sr', 65, 'Ti', 1043, 3.438]"
"['Sr', 66, 'Ti', 1035, 3.409]"
"['Sr', 66, 'Ti', 1036, 3.412]"
"['Sr', 66, 'Ti', 1043, 3.397]"
"['Sr', 66, 'Ti', 1044, 3.024]"
"['Sr', 67, 'Ti', 1036, 3.376]"
"['Sr', 67, 'Ti', 1044, 3.109]"
"['Sr', 67, 'Ti', 1045, 3.458]"
"['Sr', 68, 'Ti', 1671, 3.529]"
"['Sr', 68, 'Ti', 1672, 3.489]"
"['Sr', 68, 'Ti', 1677, 3.15]"
"['Sr', 68, 'Ti', 1678, 3.465]"
"['Sr', 69, 'Ti', 1046, 2.982]"
"['Sr', 69, 'Ti', 1047, 3.491]"
"['Sr', 69, 'Ti', 1512, 3.42]"
"['Sr', 70, 'Ti', 1203, 3.405]"
"['Sr', 70, 'Ti', 1633, 3.492]"
"['Sr', 70, 'Ti', 1673, 3.188]"
"['Sr', 70, 'Ti', 1679, 2.986]"
"['Sr', 71, 'Ti', 1186, 3.232]"
"['Sr', 71, 'Ti', 1633, 3.305]"
"['Sr', 72, 'Ti', 1489, 3.178]"
"['Sr', 72, 'Ti', 1674, 3.22]"
"['Sr', 72, 'Ti', 1675, 3.491]"
"['Sr', 72, 'Ti', 1680, 3.716]"
"['Sr', 73, 'Ti', 1049, 2.989]"
"['Sr', 74, 'Ti', 1125, 3.332]"
"['Sr', 74, 'Ti', 1184, 3.366]"
"['Sr', 74, 'Ti', 1660, 3.328]"
"['Sr', 74, 'Ti', 1681, 3.48]"
"['Sr', 75, 'Ti', 1184, 3.401]"
"['Sr', 75, 'Ti', 1342, 3.443]"
"['Sr', 75, 'Ti', 1660, 3.531]"
"['Sr', 75, 'Ti', 1676, 3.369]"
"['Sr', 76, 'Ti', 1043, 3.345]"
"['Sr', 76, 'Ti', 1044, 3.345]"
"['Sr', 76, 'Ti', 1052, 3.367]"
"['Sr', 76, 'Ti', 1359, 3.201]"
"['Sr', 77, 'Ti', 1044, 3.331]"
"['Sr', 77, 'Ti', 1045, 3.308]"
"['Sr', 77, 'Ti', 1053, 3.118]"
"['Sr', 77, 'Ti', 1359, 2.951]"
"['Sr', 78, 'Ti', 1677, 3.424]"
"['Sr', 78, 'Ti', 1678, 3.405]"
"['Sr', 78, 'Ti', 1684, 2.955]"
"['Sr', 78, 'Ti', 1685, 3.28]"
"['Sr', 79, 'Ti', 1678, 3.431]"
"['Sr', 79, 'Ti', 1679, 3.074]"
"['Sr', 79, 'Ti', 1685, 3.451]"
"['Sr', 80, 'Ti', 1047, 3.397]"
"['Sr', 80, 'Ti', 1048, 2.953]"
"['Sr', 80, 'Ti', 1055, 3.065]"
"['Sr', 80, 'Ti', 1056, 2.969]"
"['Sr', 81, 'Ti', 1489, 3.387]"
"['Sr', 81, 'Ti', 1686, 3.296]"
"['Sr', 82, 'Ti', 1489, 3.157]"
"['Sr', 82, 'Ti', 1680, 3.457]"
"['Sr', 82, 'Ti', 1686, 3.219]"
"['Sr', 82, 'Ti', 1687, 2.952]"
"['Sr', 83, 'Ti', 1680, 3.109]"
"['Sr', 83, 'Ti', 1681, 3.674]"
"['Sr', 83, 'Ti', 1687, 3.116]"
"['Sr', 83, 'Ti', 1688, 3.307]"
"['Sr', 84, 'Ti', 1660, 2.958]"
"['Sr', 84, 'Ti', 1681, 3.771]"
"['Sr', 84, 'Ti', 1682, 3.355]"
"['Sr', 84, 'Ti', 1688, 3.095]"
"['Sr', 85, 'Ti', 1051, 2.954]"
"['Sr', 85, 'Ti', 1052, 3.433]"
"['Sr', 85, 'Ti', 1059, 3.411]"
"['Sr', 85, 'Ti', 1077, 3.027]"
"['Sr', 86, 'Ti', 1342, 3.004]"
"['Sr', 86, 'Ti', 1652, 3.518]"
"['Sr', 86, 'Ti', 1683, 3.004]"
"['Sr', 86, 'Ti', 1689, 3.637]"
"['Sr', 87, 'Ti', 1652, 3.492]"
"['Sr', 87, 'Ti', 1683, 3.18]"
"['Sr', 87, 'Ti', 1684, 3.233]"
"['Sr', 87, 'Ti', 1690, 3.087]"
"['Sr', 88, 'Ti', 1053, 3.406]"
"['Sr', 88, 'Ti', 1054, 2.99]"
"['Sr', 88, 'Ti', 1062, 3.802]"
"['Sr', 88, 'Ti', 1063, 2.98]"
"['Sr', 89, 'Ti', 1054, 3.77]"
"['Sr', 89, 'Ti', 1055, 2.961]"
"['Sr', 89, 'Ti', 1063, 3.408]"
"['Sr', 89, 'Ti', 1064, 2.965]"
"['Sr', 90, 'Ti', 1186, 3.158]"
"['Sr', 90, 'Ti', 1508, 3.382]"
"['Sr', 91, 'Ti', 1066, 3.21]"
"['Sr', 91, 'Ti', 1193, 2.951]"
"['Sr', 92, 'Ti', 1156, 2.964]"
"['Sr', 92, 'Ti', 1686, 2.962]"
