"['atom A', 'A no.', 'B no.', 'Distance (A)']"
"['Bi', 75, 'O', 583, 2.543]"
"['Bi', 75, 'O', 584, 2.762]"
"['Bi', 75, 'O', 585, 4.819]"
"['Bi', 75, 'O', 586, 3.191]"
"['Bi', 75, 'O', 598, 4.725]"
"['Bi', 76, 'Na', 32, 4.994]"
"['Bi', 76, 'Bi', 74, 4.289]"
"['Bi', 76, 'Bi', 76, 0.0]"
"['Bi', 76, 'Bi', 88, 4.055]"
"['Bi', 76, 'Ti', 134, 3.559]"
"['Bi', 76, 'Ti', 135, 3.792]"
"['Bi', 76, 'Ti', 139, 3.291]"
"['Bi', 76, 'Ti', 140, 3.378]"
"['Bi', 76, 'O', 275, 4.767]"
"['Bi', 76, 'O', 277, 4.989]"
"['Bi', 76, 'O', 278, 3.192]"
"['Bi', 76, 'O', 279, 2.69]"
"['Bi', 76, 'O', 290, 4.435]"
"['Bi', 76, 'O', 292, 2.699]"
"['Bi', 76, 'O', 293, 2.25]"
"['Bi', 76, 'O', 295, 3.192]"
"['Bi', 76, 'O', 307, 4.322]"
"['Bi', 76, 'O', 310, 4.487]"
"['Bi', 76, 'O', 354, 4.916]"
"['Bi', 76, 'O', 366, 4.513]"
"['Bi', 76, 'O', 369, 4.799]"
"['Bi', 77, 'Na', 20, 3.732]"
"['Bi', 77, 'Na', 23, 4.967]"
"['Bi', 77, 'Bi', 77, 0.0]"
"['Bi', 77, 'Ti', 240, 3.266]"
"['Bi', 77, 'Ti', 245, 3.272]"
"['Bi', 77, 'O', 294, 2.94]"
"['Bi', 77, 'O', 581, 2.715]"
"['Bi', 77, 'O', 593, 4.366]"
"['Bi', 77, 'O', 595, 4.649]"
"['Bi', 77, 'O', 596, 3.032]"
"['Bi', 77, 'O', 608, 4.603]"
"['Bi', 77, 'O', 609, 4.995]"
"['Bi', 77, 'O', 610, 2.88]"
"['Bi', 77, 'O', 625, 4.765]"
"['Bi', 78, 'Na', 17, 4.061]"
"['Bi', 78, 'Na', 20, 3.807]"
"['Bi', 78, 'Na', 65, 4.143]"
"['Bi', 78, 'Bi', 78, 0.0]"
"['Bi', 78, 'Ti', 238, 3.643]"
"['Bi', 78, 'Ti', 239, 3.574]"
"['Bi', 78, 'Ti', 243, 3.466]"
"['Bi', 78, 'Ti', 244, 3.503]"
"['Bi', 78, 'O', 288, 3.165]"
"['Bi', 78, 'O', 291, 3.175]"
"['Bi', 78, 'O', 303, 2.497]"
"['Bi', 78, 'O', 306, 2.664]"
"['Bi', 78, 'O', 587, 4.968]"
"['Bi', 78, 'O', 590, 3.151]"
"['Bi', 78, 'O', 593, 4.686]"
"['Bi', 78, 'O', 602, 4.979]"
"['Bi', 78, 'O', 604, 2.548]"
"['Bi', 78, 'O', 605, 3.108]"
"['Bi', 78, 'O', 606, 4.928]"
"['Bi', 78, 'O', 607, 3.149]"
"['Bi', 78, 'O', 608, 4.396]"
"['Bi', 78, 'O', 619, 4.501]"
"['Bi', 78, 'O', 622, 4.678]"
"['Bi', 79, 'Na', 19, 4.269]"
"['Bi', 79, 'Na', 34, 4.166]"
"['Bi', 79, 'Na', 35, 4.991]"
"['Bi', 79, 'Bi', 79, 0.0]"
"['Bi', 79, 'Bi', 80, 4.122]"
"['Bi', 79, 'Ti', 142, 3.398]"
"['Bi', 79, 'Ti', 143, 3.55]"
"['Bi', 79, 'Ti', 147, 3.121]"
"['Bi', 79, 'Ti', 148, 3.428]"
"['Bi', 79, 'O', 299, 4.972]"
"['Bi', 79, 'O', 301, 4.782]"
"['Bi', 79, 'O', 302, 3.168]"
"['Bi', 79, 'O', 305, 4.928]"
"['Bi', 79, 'O', 314, 4.507]"
"['Bi', 79, 'O', 316, 3.188]"
"['Bi', 79, 'O', 317, 2.028]"
"['Bi', 79, 'O', 318, 2.88]"
"['Bi', 79, 'O', 319, 2.874]"
"['Bi', 79, 'O', 320, 4.462]"
"['Bi', 79, 'O', 375, 5.0]"
"['Bi', 79, 'O', 378, 4.792]"
"['Bi', 79, 'O', 390, 4.627]"
"['Bi', 79, 'O', 393, 4.369]"
"['Bi', 80, 'Na', 35, 3.634]"
"['Bi', 80, 'Bi', 69, 3.745]"
"['Bi', 80, 'Bi', 79, 4.122]"
"['Bi', 80, 'Bi', 80, 0.0]"
"['Bi', 80, 'Ti', 143, 3.471]"
"['Bi', 80, 'Ti', 144, 3.464]"
"['Bi', 80, 'Ti', 148, 3.43]"
"['Bi', 80, 'Ti', 149, 3.299]"
"['Bi', 80, 'O', 262, 4.368]"
"['Bi', 80, 'O', 305, 2.724]"
"['Bi', 80, 'O', 307, 4.748]"
"['Bi', 80, 'O', 308, 4.696]"
"['Bi', 80, 'O', 317, 4.589]"
"['Bi', 80, 'O', 318, 2.996]"
"['Bi', 80, 'O', 319, 2.772]"
"['Bi', 80, 'O', 320, 2.405]"
"['Bi', 80, 'O', 322, 2.102]"
"['Bi', 80, 'O', 323, 4.342]"
"['Bi', 80, 'O', 378, 4.742]"
"['Bi', 80, 'O', 381, 4.477]"
"['Bi', 80, 'O', 393, 4.559]"
"['Bi', 80, 'O', 396, 4.52]"
"['Bi', 81, 'Na', 25, 3.802]"
"['Bi', 81, 'Na', 34, 3.76]"
"['Bi', 81, 'Bi', 81, 0.0]"
"['Bi', 81, 'Bi', 94, 4.079]"
"['Bi', 81, 'Ti', 147, 3.254]"
"['Bi', 81, 'Ti', 148, 3.393]"
"['Bi', 81, 'Ti', 172, 3.269]"
"['Bi', 81, 'Ti', 173, 3.654]"
"['Bi', 81, 'O', 314, 4.505]"
"['Bi', 81, 'O', 316, 4.623]"
"['Bi', 81, 'O', 317, 3.018]"
"['Bi', 81, 'O', 318, 4.555]"
"['Bi', 81, 'O', 319, 4.851]"
"['Bi', 81, 'O', 334, 3.174]"
"['Bi', 81, 'O', 389, 4.921]"
"['Bi', 81, 'O', 390, 2.388]"
"['Bi', 81, 'O', 391, 4.957]"
"['Bi', 81, 'O', 392, 3.131]"
"['Bi', 81, 'O', 393, 3.096]"
"['Bi', 81, 'O', 394, 4.741]"
"['Bi', 81, 'O', 465, 4.872]"
"['Bi', 81, 'O', 468, 4.597]"
"['Bi', 82, 'Na', 29, 4.212]"
"['Bi', 82, 'Bi', 82, 0.0]"
"['Bi', 82, 'Ti', 128, 3.454]"
"['Bi', 82, 'Ti', 129, 3.331]"
"['Bi', 82, 'Ti', 153, 3.192]"
"['Bi', 82, 'Ti', 154, 3.414]"
"['Bi', 82, 'O', 257, 4.345]"
"['Bi', 82, 'O', 259, 3.02]"
"['Bi', 82, 'O', 260, 2.417]"
"['Bi', 82, 'O', 274, 4.633]"
"['Bi', 82, 'O', 277, 4.962]"
"['Bi', 82, 'O', 332, 4.621]"
"['Bi', 82, 'O', 333, 2.409]"
"['Bi', 82, 'O', 335, 3.198]"
"['Bi', 82, 'O', 336, 3.079]"
"['Bi', 82, 'O', 337, 3.102]"
"['Bi', 82, 'O', 338, 4.654]"
"['Bi', 82, 'O', 349, 4.488]"
"['Bi', 82, 'O', 352, 4.824]"
"['Bi', 82, 'O', 408, 4.686]"
"['Bi', 82, 'O', 411, 4.822]"
"['Bi', 83, 'Na', 27, 3.828]"
"['Bi', 83, 'Na', 28, 3.841]"
"['Bi', 83, 'Na', 30, 4.208]"
"['Bi', 83, 'Bi', 83, 0.0]"
"['Bi', 83, 'Bi', 95, 4.289]"
"['Bi', 83, 'Ti', 126, 3.192]"
"['Bi', 83, 'Ti', 127, 3.325]"
"['Bi', 83, 'Ti', 131, 3.239]"
"['Bi', 83, 'Ti', 132, 3.291]"
"['Bi', 83, 'Ti', 151, 3.444]"
"['Bi', 83, 'Ti', 152, 3.465]"
"['Bi', 83, 'Ti', 156, 3.572]"
"['Bi', 83, 'Ti', 157, 3.797]"
"['Bi', 83, 'O', 251, 4.45]"
"['Bi', 83, 'O', 253, 4.408]"
"['Bi', 83, 'O', 254, 2.532]"
"['Bi', 83, 'O', 256, 4.804]"
"['Bi', 83, 'O', 257, 4.855]"
"['Bi', 83, 'O', 266, 4.67]"
"['Bi', 83, 'O', 268, 2.481]"
"['Bi', 83, 'O', 269, 2.306]"
"['Bi', 83, 'O', 271, 2.405]"
"['Bi', 83, 'O', 272, 4.8]"
"['Bi', 83, 'O', 283, 4.744]"
"['Bi', 83, 'O', 286, 4.508]"
"['Bi', 83, 'O', 327, 2.452]"
"['Bi', 83, 'O', 328, 4.781]"
"['Bi', 83, 'O', 329, 3.145]"
"['Bi', 83, 'O', 330, 2.41]"
"['Bi', 83, 'O', 331, 4.723]"
"['Bi', 83, 'O', 342, 2.528]"
"['Bi', 83, 'O', 343, 3.188]"
"['Bi', 83, 'O', 344, 3.186]"
"['Bi', 83, 'O', 345, 3.003]"
"['Bi', 83, 'O', 346, 3.197]"
"['Bi', 83, 'O', 402, 4.808]"
"['Bi', 83, 'O', 405, 4.819]"
"['Bi', 84, 'Pb', 2, 3.705]"
"['Bi', 84, 'Na', 29, 4.0]"
"['Bi', 84, 'Na', 38, 4.969]"
"['Bi', 84, 'Bi', 74, 4.075]"
"['Bi', 84, 'Bi', 84, 0.0]"
"['Bi', 84, 'Bi', 88, 4.026]"
"['Bi', 84, 'Ti', 129, 3.723]"
"['Bi', 84, 'Ti', 130, 3.789]"
"['Bi', 84, 'Ti', 134, 3.408]"
"['Bi', 84, 'Ti', 135, 3.501]"
"['Bi', 84, 'Ti', 154, 3.213]"
"['Bi', 84, 'Ti', 155, 3.093]"
"['Bi', 84, 'Ti', 159, 3.627]"
"['Bi', 84, 'Ti', 160, 3.641]"
"['Bi', 84, 'O', 263, 3.196]"
"['Bi', 84, 'O', 275, 4.543]"
"['Bi', 84, 'O', 277, 3.18]"
"['Bi', 84, 'O', 278, 2.706]"
"['Bi', 84, 'O', 280, 3.172]"
"['Bi', 84, 'O', 292, 4.652]"
"['Bi', 84, 'O', 326, 4.51]"
"['Bi', 84, 'O', 335, 4.503]"
"['Bi', 84, 'O', 336, 2.695]"
"['Bi', 84, 'O', 337, 4.602]"
"['Bi', 84, 'O', 338, 2.272]"
"['Bi', 84, 'O', 339, 2.545]"
"['Bi', 84, 'O', 340, 4.685]"
"['Bi', 84, 'O', 341, 4.347]"
"['Bi', 84, 'O', 350, 4.488]"
"['Bi', 84, 'O', 351, 2.469]"
"['Bi', 84, 'O', 352, 2.866]"
"['Bi', 84, 'O', 353, 3.186]"
"['Bi', 84, 'O', 354, 2.678]"
"['Bi', 84, 'O', 355, 2.425]"
"['Bi', 84, 'O', 367, 4.848]"
"['Bi', 84, 'O', 411, 4.747]"
"['Bi', 84, 'O', 414, 4.33]"
"['Bi', 84, 'O', 426, 4.626]"
"['Bi', 85, 'Na', 27, 3.749]"
"['Bi', 85, 'Na', 30, 4.084]"
"['Bi', 85, 'Bi', 85, 0.0]"
"['Bi', 85, 'Ti', 131, 3.734]"
"['Bi', 85, 'Ti', 136, 3.722]"
"['Bi', 85, 'Ti', 156, 3.293]"
